id;details;from_date;to_date;outstanding_quantity;line_amount;product_id;bill_id;rental_order_id
1;Liaison;2021-07-21T18:56:29;2021-07-22T03:20:26;43278;65655;1;1;1
2;Fresh Handmade Account;2021-07-21T10:41:39;2021-07-21T11:23:36;33582;22116;2;2;2
3;generate;2021-07-21T21:38:37;2021-07-22T02:21:34;23861;78417;3;3;3
4;withdrawal payment;2021-07-21T13:48:35;2021-07-21T23:00:17;53916;84075;4;4;4
5;grow;2021-07-22T04:40:44;2021-07-22T02:29:31;83199;83434;5;5;5
6;redundant;2021-07-21T19:22:10;2021-07-21T16:52:02;34439;6907;6;6;6
7;infrastructures Specialist;2021-07-21T18:47:45;2021-07-21T16:49:56;73930;77847;7;7;7
8;Pound Refined;2021-07-21T13:02:31;2021-07-21T10:02:02;69366;16124;8;8;8
9;Licensed;2021-07-22T05:21:25;2021-07-21T23:28:04;25958;53649;9;9;9
10;Kwacha Kentucky;2021-07-22T08:13:59;2021-07-22T08:07:24;59556;80186;10;10;10
